aX,aY,aZ,gX,gY,gZ
0.356,-1.521,1.099,55.481,-119.751,-14.954
0.348,-1.594,1.238,56.091,-95.459,0.061
0.401,-1.683,1.295,44.006,-69.641,14.282
0.454,-1.775,1.341,33.508,-47.852,28.687
0.502,-1.820,1.402,27.222,-31.555,45.288
0.481,-1.824,1.491,18.738,-14.282,61.279
0.441,-1.818,1.498,-0.244,3.235,77.576
0.419,-1.772,1.439,-22.705,20.386,92.896
0.406,-1.754,1.309,-35.400,40.161,106.628
0.401,-1.683,1.162,-44.128,66.956,117.920
0.388,-1.607,0.999,-52.002,91.675,129.089
0.415,-1.526,0.838,-57.739,109.985,140.564
0.418,-1.418,0.729,-61.646,124.390,149.597
0.391,-1.317,0.586,-73.120,139.526,160.034
0.356,-1.183,0.402,-85.144,159.607,171.143
0.323,-1.026,0.158,-86.243,175.110,181.824
0.268,-0.818,-0.090,-77.087,182.129,188.843
0.246,-0.622,-0.359,-67.810,179.199,190.857
0.248,-0.421,-0.620,-63.293,169.739,189.270
0.248,-0.236,-0.913,-49.988,150.330,185.669
0.261,-0.009,-1.206,-21.240,124.329,181.396
0.233,0.244,-1.498,15.320,93.689,172.302
0.160,0.527,-1.673,51.270,56.946,154.053
0.064,0.767,-1.765,80.688,16.479,125.183
0.068,0.888,-1.832,94.299,-24.841,88.379
0.046,0.921,-1.809,99.304,-70.374,47.058
0.058,0.891,-1.669,102.234,-114.197,10.254
-0.043,0.785,-1.506,104.553,-149.231,-25.269
-0.028,0.498,-1.228,91.736,-176.392,-58.533
-0.019,0.191,-0.783,85.938,-201.843,-85.999
-0.016,-0.203,-0.191,80.872,-236.572,-109.802
0.011,-0.748,0.425,49.438,-280.334,-129.395
0.192,-1.381,1.056,-5.127,-322.021,-141.907
0.535,-1.932,1.710,-55.542,-349.060,-137.878
0.835,-2.361,2.351,-51.636,-352.661,-112.671
0.807,-2.510,2.710,-16.418,-333.496,-79.041
0.567,-2.488,2.957,-14.160,-284.424,-40.588
0.358,-2.186,3.032,-60.181,-209.778,7.019
0.196,-1.907,2.882,-80.444,-118.713,50.964
0.131,-1.665,2.578,-75.684,-27.222,71.838
