aX,aY,aZ,gX,gY,gZ
0.093,-0.107,0.998,93.994,-42.480,-138.184
0.055,-0.079,0.974,1.343,1.160,-7.385
0.053,-0.080,0.967,-9.277,4.028,11.414
0.054,-0.082,0.966,-1.526,-0.244,1.465
0.052,-0.078,0.967,-0.793,-1.160,0.000
0.050,-0.078,0.967,-0.671,-1.282,-0.122
0.051,-0.079,0.967,-0.244,-1.099,-0.183
0.052,-0.079,0.963,-0.427,-1.099,-0.244
0.052,-0.079,0.966,-0.549,-1.404,-0.305
0.054,-0.077,0.964,-0.549,-1.282,-0.244
0.054,-0.077,0.964,-0.244,-1.099,-0.488
0.053,-0.077,0.965,-0.610,-1.099,-0.183
0.054,-0.079,0.963,-0.427,-1.038,-0.244
0.054,-0.078,0.965,-0.427,-0.977,-0.244
0.054,-0.078,0.965,-0.366,-1.099,-0.122
0.053,-0.078,0.962,-0.183,-1.221,-0.305
0.055,-0.078,0.963,-0.305,-1.160,-0.366
0.053,-0.078,0.966,-0.549,-1.160,-0.122
0.053,-0.077,0.965,-0.427,-1.343,-0.244
0.053,-0.079,0.964,-0.305,-1.099,-0.183
0.054,-0.078,0.964,-0.427,-1.038,-0.183
0.052,-0.079,0.966,-0.244,-1.160,-0.427
0.053,-0.078,0.964,-0.244,-1.099,-0.305
0.052,-0.079,0.962,-0.183,-0.977,-0.183
0.052,-0.078,0.964,-0.305,-0.977,-0.183
0.054,-0.079,0.963,-0.427,-0.977,-0.183
0.053,-0.078,0.966,-0.305,-0.977,-0.244
0.054,-0.079,0.963,-0.122,-1.099,-0.244
0.054,-0.077,0.964,-0.366,-1.099,-0.061
0.053,-0.078,0.965,-0.366,-1.160,-0.244
0.054,-0.077,0.963,-0.122,-1.038,-0.183
0.055,-0.078,0.963,-0.183,-1.099,-0.183
0.054,-0.077,0.965,-0.427,-1.038,-0.305
0.053,-0.078,0.964,-0.305,-0.977,-0.183
0.052,-0.078,0.964,-0.305,-0.793,-0.183
0.052,-0.078,0.964,-0.366,-0.916,-0.244
0.054,-0.077,0.964,-0.366,-1.099,-0.122
0.052,-0.078,0.964,-0.366,-1.038,-0.183
0.054,-0.078,0.963,-0.610,-1.038,-0.122
0.052,-0.079,0.964,-0.488,-1.099,-0.305
0.052,-0.078,0.965,-0.488,-1.038,-0.305
0.051,-0.079,0.964,-0.427,-1.099,-0.305
0.051,-0.079,0.964,-0.366,-1.160,-0.183
0.051,-0.078,0.964,-0.427,-1.099,-0.183
0.052,-0.078,0.965,-0.427,-1.160,-0.244
0.053,-0.079,0.965,-0.305,-1.099,-0.366
0.054,-0.078,0.964,-0.366,-1.160,-0.244
0.054,-0.078,0.965,-0.427,-1.160,-0.122
0.054,-0.078,0.965,-0.183,-1.099,-0.183
0.053,-0.078,0.965,-0.366,-1.038,-0.244
0.054,-0.078,0.966,-0.366,-1.099,-0.366
0.052,-0.078,0.966,-0.366,-1.038,-0.305
0.052,-0.078,0.965,-0.305,-1.160,-0.183
0.053,-0.079,0.964,-0.183,-1.038,-0.305
0.053,-0.077,0.965,-0.427,-1.160,-0.244
0.054,-0.078,0.967,-0.366,-1.221,-0.183
0.055,-0.077,0.965,-0.244,-1.282,-0.244
0.053,-0.079,0.965,-0.244,-1.099,-0.183
0.053,-0.078,0.966,-0.305,-1.282,-0.244
0.052,-0.078,0.966,-0.183,-1.160,-0.244
0.053,-0.079,0.967,-0.305,-1.099,-0.122
0.053,-0.080,0.965,-0.427,-1.221,-0.183
0.053,-0.079,0.967,-0.244,-0.977,-0.305
0.052,-0.079,0.965,-0.305,-1.160,-0.122
0.054,-0.078,0.965,-0.366,-1.282,-0.183
0.055,-0.078,0.965,-0.549,-1.038,-0.244
0.054,-0.078,0.964,-0.427,-1.160,-0.183
0.054,-0.078,0.966,-0.305,-1.038,-0.366
0.052,-0.077,0.966,-0.244,-1.038,-0.488
0.053,-0.078,0.966,-0.305,-1.099,-0.183
0.053,-0.078,0.966,-0.305,-1.221,-0.183
0.054,-0.078,0.966,-0.427,-1.221,-0.122
0.053,-0.076,0.966,-0.366,-1.099,-0.244
0.053,-0.077,0.966,-0.305,-1.099,-0.366
0.053,-0.076,0.965,-0.427,-0.916,-0.366
0.052,-0.077,0.966,-0.366,-1.099,-0.244
0.054,-0.078,0.966,-0.305,-1.099,-0.244
0.054,-0.078,0.966,-0.183,-1.282,-0.122
0.053,-0.079,0.968,-0.305,-1.282,-0.366
0.053,-0.079,0.968,-0.305,-1.099,-0.183
0.054,-0.079,0.966,-0.366,-1.160,-0.122
0.053,-0.079,0.967,-0.427,-1.160,-0.122
0.053,-0.078,0.967,-0.366,-1.038,-0.122
0.053,-0.078,0.967,-0.305,-1.038,-0.183
0.053,-0.079,0.968,-0.305,-1.099,-0.244
0.052,-0.078,0.966,-0.122,-1.160,-0.244
0.052,-0.079,0.965,-0.244,-1.221,-0.183
0.052,-0.079,0.966,-0.427,-1.221,-0.183
0.053,-0.079,0.967,-0.366,-1.038,-0.061
0.052,-0.078,0.967,-0.549,-1.099,-0.122
0.054,-0.078,0.965,-0.549,-1.099,-0.183
0.055,-0.078,0.967,-0.305,-1.038,-0.305
0.054,-0.077,0.968,-0.488,-1.038,-0.244
0.054,-0.079,0.967,-0.427,-1.099,-0.183
0.055,-0.078,0.967,-0.305,-1.282,-0.122
0.054,-0.078,0.967,-0.427,-1.099,-0.183
0.053,-0.078,0.967,-0.488,-1.160,-0.366
0.053,-0.078,0.966,-0.488,-1.099,-0.488
0.053,-0.078,0.967,-0.488,-1.343,-0.305
0.053,-0.078,0.967,-0.366,-1.282,-0.427
0.052,-0.077,0.966,-0.488,-1.160,-0.244
