aX,aY,aZ,gX,gY,gZ
0.079,-0.098,0.974,-0.305,1.160,-9.399
0.067,-0.094,0.980,-17.212,9.949,19.531
0.072,-0.091,0.960,-5.493,3.784,10.315
0.061,-0.086,1.018,6.226,-2.563,0.854
0.064,-0.103,0.967,14.832,-2.747,0.061
0.073,-0.115,0.932,15.564,-0.793,-0.244
0.067,-0.115,0.958,11.292,-2.747,0.183
0.061,-0.114,0.978,9.277,-3.723,0.671
0.065,-0.119,0.964,8.118,-1.831,0.977
0.064,-0.123,0.960,7.141,-1.099,1.221
0.064,-0.116,0.958,6.653,-1.831,2.258
0.064,-0.121,0.950,5.371,-1.221,2.808
0.067,-0.117,0.947,3.662,-0.916,2.747
0.073,-0.106,0.952,2.197,-1.526,2.625
0.074,-0.104,0.964,0.854,-1.648,1.587
0.066,-0.118,0.959,1.587,-1.648,0.305
0.067,-0.122,0.954,1.831,-1.587,0.061
0.068,-0.116,0.968,0.427,-2.075,0.366
0.065,-0.116,0.971,0.366,-2.258,0.427
0.066,-0.118,0.959,0.854,-1.709,0.427
0.068,-0.117,0.955,0.610,-1.404,0.488
0.066,-0.116,0.961,-0.122,-2.075,0.366
0.066,-0.114,0.965,0.000,-1.953,0.671
0.066,-0.114,0.961,0.366,-1.831,0.854
0.069,-0.113,0.961,0.610,-1.648,0.793
0.069,-0.112,0.965,0.854,-1.587,0.610
0.068,-0.118,0.965,1.160,-1.648,0.244
0.069,-0.117,0.959,1.038,-1.221,-0.122
0.069,-0.116,0.963,0.488,-1.099,-0.244
0.066,-0.118,0.965,0.488,-1.343,-0.122
0.066,-0.117,0.963,0.549,-1.038,-0.183
0.060,-0.121,0.965,0.732,-1.038,-0.122
0.067,-0.115,0.968,0.183,-0.122,0.000
0.071,-0.119,0.942,0.916,-0.061,-0.122
0.061,-0.127,0.953,0.305,-1.648,-0.366
0.070,-0.107,0.974,-1.465,-1.709,0.183
0.061,-0.124,0.965,0.061,-1.709,-0.183
0.067,-0.119,0.960,0.305,-0.977,0.000
0.066,-0.120,0.962,-0.061,-0.916,-0.122
0.066,-0.120,0.962,0.183,-1.221,-0.183
