aX,aY,aZ,gX,gY,gZ
0.091,-0.118,1.028,131.714,-60.425,-188.599
0.054,-0.085,0.971,9.460,-2.625,-18.188
0.054,-0.082,0.964,-9.155,3.967,11.169
0.053,-0.083,0.967,-1.770,-0.488,1.465
0.053,-0.082,0.966,-0.488,-1.160,0.000
0.053,-0.082,0.963,-0.366,-1.038,-0.183
0.053,-0.082,0.960,-0.366,-1.282,-0.122
0.053,-0.082,0.960,-0.305,-1.282,-0.305
0.052,-0.082,0.961,-0.183,-1.526,-0.183
0.052,-0.082,0.959,-0.122,-1.404,-0.183
0.053,-0.084,0.957,-0.244,-1.282,-0.305
0.049,-0.083,0.965,-0.305,-1.404,-0.244
0.050,-0.083,0.959,-0.244,-1.160,-0.122
0.052,-0.082,0.959,-0.610,-0.977,-0.366
0.052,-0.083,0.961,-0.427,-1.221,-0.244
0.052,-0.081,0.962,-0.488,-1.038,-0.061
0.053,-0.083,0.961,-0.305,-1.038,-0.244
0.054,-0.083,0.960,-0.305,-1.099,-0.244
0.053,-0.082,0.960,-0.305,-1.282,-0.366
0.054,-0.082,0.959,0.000,-1.465,-0.366
0.052,-0.083,0.956,0.000,-1.526,-0.183
0.051,-0.081,0.960,-0.183,-1.648,-0.244
0.053,-0.082,0.958,-0.183,-1.343,-0.183
0.052,-0.081,0.960,-0.488,-1.221,-0.061
0.053,-0.082,0.961,-0.366,-1.038,-0.305
0.052,-0.083,0.962,-0.549,-1.221,-0.183
0.051,-0.082,0.965,-0.549,-1.160,-0.305
0.051,-0.083,0.962,-0.305,-1.038,-0.366
0.052,-0.081,0.959,-0.305,-1.038,-0.305
0.051,-0.082,0.960,-0.305,-1.404,-0.305
0.051,-0.082,0.958,-0.244,-1.648,-0.061
0.052,-0.083,0.958,-0.122,-1.709,-0.183
0.051,-0.084,0.960,-0.183,-1.587,-0.305
0.052,-0.084,0.960,-0.061,-1.282,-0.244
0.052,-0.085,0.959,-0.427,-1.221,-0.244
0.052,-0.086,0.961,-0.488,-1.038,-0.305
0.052,-0.084,0.962,-0.610,-0.854,-0.183
0.053,-0.083,0.961,-0.610,-0.793,-0.305
0.053,-0.082,0.960,-0.488,-0.916,-0.183
0.053,-0.081,0.961,-0.244,-0.977,-0.366
0.053,-0.081,0.960,-0.183,-1.282,-0.366
0.052,-0.080,0.960,-0.061,-1.526,-0.427
0.051,-0.081,0.961,-0.122,-1.587,-0.427
0.052,-0.082,0.960,-0.122,-1.587,-0.305
0.051,-0.082,0.961,-0.183,-1.648,-0.366
0.051,-0.082,0.963,-0.366,-1.160,-0.366
0.052,-0.083,0.963,-0.427,-0.854,-0.427
0.053,-0.082,0.963,-0.488,-0.793,-0.244
0.052,-0.082,0.961,-0.549,-0.854,-0.244
0.053,-0.082,0.961,-0.549,-1.099,-0.122
0.053,-0.082,0.961,-0.427,-1.221,-0.183
0.052,-0.083,0.961,-0.183,-1.343,-0.305
0.051,-0.083,0.962,-0.122,-1.526,-0.305
0.050,-0.084,0.961,-0.122,-1.648,-0.122
0.051,-0.084,0.961,-0.122,-1.404,-0.122
0.051,-0.084,0.964,-0.305,-1.282,-0.183
